fips_code,State,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)]
2016,AK,,,0,0,0,0,0,0
2020,AK,0.66,0.71,3.358,4.585,30.279,0.25,0.342,2.258
2050,AK,0.4,,1.866,3.068,24.251,0,0,0
2070,AK,0.15,,3.6,5.491,38.298,0,0,0
2090,AK,0.46,0.66,1.465,2,14.21,0.131,0.179,1.274
2110,AK,0.41,0.32,1.401,1.835,10.47,0.28,0.367,2.094
2122,AK,0.56,0.69,1.298,1.724,7.46,0.103,0.136,0.589
2130,AK,0.42,0.31,1.796,2.378,11.563,0.287,0.38,1.85
2150,AK,0.22,,1.798,2.499,17.404,0,0,0
2170,AK,0.72,0.33,0.688,0.97,5.775,0.13,0.184,1.093
2180,AK,,,0,0,0,0,0,0
2185,AK,0.06,,2.026,2.835,29.718,0,0,0
2188,AK,0.23,,2.216,3.59,30.303,0,0,0
2195,AK,0.26,,3.726,4.831,19.512,0,0,0
2220,AK,0.37,,2.891,3.789,18.369,0,0,0
2261,AK,0.22,,2.619,3.518,19.108,0,0,0
2275,AK,0.19,,3.196,4.094,14.599,0,0,0
1001,AL,0.62,0.53,0.989,1.336,6.356,0.108,0.146,0.693
1003,AL,0.64,0.65,1.66,2.176,8.122,0.234,0.307,1.144
1005,AL,0.43,0.42,1.206,1.563,6.209,0.201,0.261,1.035
1007,AL,0.37,,1.116,1.441,6.775,0,0,0
1009,AL,0.5,0.34,0.432,0.579,2.37,0.104,0.139,0.569
1011,AL,0.21,,2.959,3.841,18.061,0,0,0
1013,AL,0.18,0.38,3.354,4.439,16.521,0.356,0.471,1.752
1015,AL,0.49,0.94,3.903,5.156,22.028,0.21,0.277,1.185
1017,AL,,,0,0,0,0,0,0
1019,AL,0.24,,1.729,2.195,7.525,0,0,0
1021,AL,0.28,0.09,0.589,0.796,3.508,0.136,0.184,0.81
1023,AL,0.23,,1.947,2.493,8.466,0,0,0
1025,AL,0.3,,2.341,3.082,11.782,0,0,0
1027,AL,0.29,0.41,3.465,4.47,16.721,0.301,0.389,1.454
1031,AL,0.28,0.34,1.907,2.573,11.249,0.135,0.182,0.795
1033,AL,0.3,0.33,5.478,7.11,27.488,0.402,0.521,2.016
1035,AL,0.29,,3.584,4.643,15.93,0,0,0
1039,AL,0.32,0.68,3.461,4.547,16.431,0.351,0.462,1.669
1041,AL,0.12,,2.098,2.794,11.031,0,0,0
1043,AL,0.49,0.69,2.217,2.941,11.977,0.144,0.191,0.777
1045,AL,0.28,0.24,1.573,2.101,9.311,0.123,0.164,0.726
1047,AL,0.43,0.7,2.845,3.866,15.749,0.6,0.816,3.323
1049,AL,0.32,0.46,1.359,1.849,7.872,0.168,0.229,0.974
1051,AL,0.33,0.2,0.855,1.131,5.645,0.061,0.081,0.403
1053,AL,0.34,0.39,2.585,3.418,14.403,0.381,0.504,2.122
1055,AL,0.5,0.86,5.756,7.543,30.277,0.546,0.716,2.874
1057,AL,0.26,0.04,2.738,3.568,12.961,0.487,0.634,2.304
1059,AL,0.36,0.48,2.359,3.222,13.973,0.223,0.305,1.322
1061,AL,0.16,0.22,2.774,3.651,13.668,0.228,0.3,1.123
1063,AL,0.06,,2.429,3.204,10.887,0,0,0
1065,AL,0.25,,1.901,2.552,9.897,0,0,0
1069,AL,0.74,0.86,6.216,8.309,34.927,0.63,0.842,3.541
1071,AL,0.16,0.55,3.247,4.216,16.196,0.193,0.251,0.964
1073,AL,0.72,0.75,5.606,7.503,35.353,0.723,0.968,4.563
1077,AL,0.73,0.43,2.522,3.26,12.552,0.563,0.728,2.801
1079,AL,0.16,0.02,1.305,1.708,6.991,0.182,0.238,0.975
1081,AL,0.59,0.47,2.91,3.93,24.485,0.22,0.297,1.848
1083,AL,0.52,0.23,1.009,1.339,6.64,0.104,0.138,0.685
1087,AL,,,7.755,10.044,38.072,0,0,0
1089,AL,0.73,0.79,3.383,4.484,22.494,0.281,0.372,1.868
1091,AL,0.44,0.51,1.941,2.583,9.901,0.262,0.349,1.338
1093,AL,0.2,0,3.259,4.227,15.346,0.269,0.349,1.266
1095,AL,0.51,0.72,2.123,2.915,12.458,0.208,0.286,1.221
1097,AL,0.69,0.82,3.961,5.342,24.448,0.379,0.512,2.342
1099,AL,0.2,0.34,2.326,3.064,11.462,0.38,0.5,1.871
1101,AL,0.71,0.7,4.762,6.448,31.458,0.399,0.54,2.634
1103,AL,0.56,0.72,1.679,2.24,9.614,0.286,0.381,1.634
1107,AL,0.15,0,2.006,2.569,10.546,0.201,0.257,1.055
1109,AL,0.18,0.3,2.91,3.864,19.451,0.27,0.359,1.805
1111,AL,,,0,0,0,0,0,0
1117,AL,0.59,0.67,0.983,1.326,6.407,0.148,0.2,0.967
1115,AL,0.58,0.64,0.451,0.599,2.714,0.068,0.09,0.407
1119,AL,0.45,,2.6,3.427,14.436,0,0,0
1121,AL,0.26,0.6,2.593,3.392,14.405,0.175,0.229,0.974
1123,AL,0.33,0.83,1.975,2.556,9.163,0.148,0.192,0.687
1125,AL,0.78,0.95,2.647,3.569,19.933,0.402,0.542,3.028
1127,AL,0.31,0.67,3.249,4.288,16.814,0.188,0.249,0.975
1129,AL,0.39,,0.916,1.211,4.792,0,0,0
1131,AL,0.07,,1.976,2.691,10.165,0,0,0
1133,AL,0.28,0.04,2.071,2.672,9.606,0.169,0.218,0.784
5001,AR,0.16,,4.165,5.551,21.24,0,0,0
5003,AR,0.42,0.21,1.247,1.663,6.126,0.299,0.399,1.47
5005,AR,0.52,0.77,4.085,5.066,13.219,0.408,0.507,1.322
5007,AR,0.54,0.67,1.009,1.413,7.522,0.11,0.154,0.821
5009,AR,0.21,0.21,3.202,4.262,15.498,0.64,0.852,3.1
5011,AR,0.26,,2.294,3.101,12.095,0,0,0
5015,AR,0.21,,1.417,1.858,6.112,0,0,0
5017,AR,0.36,,2.395,3.173,11.781,0,0,0
5019,AR,0.51,,1.133,1.531,6.781,0,0,0
5021,AR,0.49,,1.684,2.21,7.864,0,0,0
5023,AR,,,0,0,0,0,0,0
5027,AR,0.4,0.15,1.275,1.744,7.315,0.255,0.349,1.463
5029,AR,0.31,,1.197,1.585,6.105,0,0,0
5031,AR,0.7,0.71,5.426,7.554,39.188,0.608,0.847,4.391
5033,AR,0.2,0.07,0.615,0.84,3.698,0.126,0.172,0.759
5035,AR,0.29,,1.076,1.529,7.605,0,0,0
5037,AR,0.58,,0.899,1.212,4.792,0,0,0
5039,AR,0.08,,3.063,3.995,13.213,0,0,0
5041,AR,0.26,,4.343,6.015,22.852,0,0,0
5043,AR,0.44,0.37,2.674,3.587,15.279,0.273,0.366,1.559
5045,AR,0.46,0.72,2.203,2.995,17.649,0.2,0.272,1.604
5047,AR,0.1,,1.404,1.879,7.261,0,0,0
5049,AR,0.41,,2.038,2.631,7.762,0,0,0
5051,AR,0.62,0.85,4.266,5.484,17.899,0.413,0.532,1.735
5055,AR,0.31,0.7,2.515,3.435,15.742,0.177,0.241,1.105
5057,AR,0.12,0.27,3.082,4.29,17.157,0.368,0.512,2.049
5059,AR,0.39,0.42,1.899,2.456,10.049,0.178,0.23,0.942
5061,AR,0.26,,1.874,2.612,10.443,0,0,0
5063,AR,0.45,0.56,4.883,6.677,27.866,0.318,0.435,1.817
5065,AR,0.18,,1.839,2.293,7.131,0,0,0
5067,AR,,,0,0,0,0,0,0
5069,AR,0.44,0.4,3.979,5.323,23.011,0.499,0.668,2.887
5071,AR,0.23,0.21,2.131,2.952,12.955,0.299,0.414,1.818
5075,AR,0.3,,1.521,2.026,7.711,0,0,0
5081,AR,0.1,,2.028,2.68,9.656,0,0,0
5083,AR,0.17,,1.84,2.42,9.27,0,0,0
5091,AR,0.62,,1.147,1.546,6.79,0,0,0
5093,AR,0.27,0.16,1.406,1.969,9.508,0.121,0.17,0.82
5103,AR,0.17,0.31,3.474,4.601,17.048,0.339,0.449,1.663
5107,AR,0.1,0.52,7.044,9.815,37.069,0.333,0.464,1.751
5113,AR,0.31,0.51,2.045,2.727,8.892,0.299,0.399,1.301
5115,AR,0.43,,2.141,2.93,13.59,0.172,0.235,1.091
5119,AR,0.67,0.78,9.321,12.488,59.926,0.716,0.959,4.601
5121,AR,0.16,0.04,1.783,2.403,8.941,0.111,0.15,0.559
5125,AR,0.54,0.54,1.705,2.282,9.599,0.132,0.176,0.742
5127,AR,0.13,,2.326,3.11,11.152,0,0,0
5131,AR,0.59,0.23,4.501,6.108,28.043,0.243,0.329,1.512
5133,AR,,,0,0,0,0,0,0
5123,AR,0.32,0.07,2.201,2.867,13.586,0.236,0.307,1.456
5137,AR,0.21,,2.007,2.542,7.319,0,0,0
5139,AR,0.31,0.5,2.837,3.847,15.819,0.409,0.555,2.28
